,track_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
0,Apologize,Pop,0.348,0.591,0.718,0.000118,0.107,-6.025,0.0368,117.995,0.468,Cluster 1
1,Mercy,Pop,0.133,0.568,0.6859999999999999,0.0,0.11,-4.901,0.0903,148.29399999999995,0.4,Cluster 3
2,1950,Pop,0.648,0.6,0.535,4.7e-06,0.162,-7.042999999999998,0.107,71.91199999999998,0.269,Cluster 4
3,Perfect Duet (Ed Sheeran & Beyoncé),Pop,0.779,0.5870000000000001,0.299,0.0,0.123,-7.365,0.0263,94.992,0.35600000000000004,Cluster 2
4,Stay With Me,Pop,0.568,0.479,0.419,0.000217,0.11,-6.517,0.0389,85.014,0.18600000000000005,Cluster 4
5,Nevermind,Pop,0.159,0.601,0.688,1.29e-05,0.414,-8.374,0.202,99.933,0.0793,Cluster 2
6,Chasing Cars,Pop,0.193,0.557,0.609,7.69e-05,0.135,-4.463,0.0259,104.01,0.172,Cluster 2
7,Set Fire to the Rain,Pop,0.003820000000000001,0.61,0.6829999999999999,1.79e-06,0.125,-3.879,0.0253,108.003,0.466,Cluster 2
8,Photograph,Pop,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,Cluster 2
9,Like I'm Gonna Lose You,Pop,0.4,0.63,0.53,0.0,0.177,-7.258999999999999,0.0434,108.038,0.417,Cluster 2
10,Nothing to Regret,Pop,0.243,0.6970000000000001,0.521,0.0,0.189,-6.519,0.031,91.998,0.331,Cluster 2
11,Say You Won't Let Go,Pop,0.695,0.358,0.557,0.0,0.0902,-7.398,0.059,85.04299999999998,0.494,Cluster 4
12,Scars To Your Beautiful,Pop,0.0294,0.591,0.741,0.0,0.11,-5.751,0.139,97.048,0.452,Cluster 2
13,I'm Not The Only One,Pop,0.5539999999999999,0.453,0.496,2.65e-05,0.0772,-5.785,0.0453,80.994,0.501,Cluster 4
14,Please Don't Go,Pop,0.0118,0.513,0.768,1.94e-05,0.294,-4.868,0.0587,84.264,0.235,Cluster 4
15,Issues,Pop,0.416,0.7040000000000001,0.423,0.0,0.0607,-6.792000000000002,0.0862,113.962,0.451,Cluster 1
16,Too Good At Goodbyes,Pop,0.618,0.515,0.378,0.0,0.172,-8.264,0.065,91.883,0.536,Cluster 2
17,Story of My Life,Pop,0.225,0.6,0.6629999999999999,0.0,0.119,-5.8020000000000005,0.0477,121.07,0.28600000000000003,Cluster 1
18,Thinking Out Loud,Pop,0.474,0.7809999999999999,0.445,0.0,0.184,-6.061,0.0295,78.998,0.591,Cluster 4
19,I'm Yours,Pop,0.595,0.6859999999999999,0.457,0.0,0.105,-8.322000000000001,0.0468,150.953,0.718,Cluster 3
20,Someone Like You,Pop,0.892,0.5589999999999999,0.33,0.0,0.0975,-8.251,0.0285,135.109,0.285,Cluster 1
21,Let Her Go,Pop,0.385,0.509,0.5379999999999999,0.0,0.104,-7.335,0.0572,75.089,0.244,Cluster 4
22,Take A Bow,Pop,0.242,0.705,0.469,0.0,0.104,-7.46,0.0771,82.009,0.552,Cluster 4
23,Hall of Fame,Pop,0.0653,0.421,0.873,0.0,0.123,-4.343,0.0565,84.803,0.63,Cluster 4
24,You're Beautiful,Pop,0.603,0.679,0.54,1.7e-05,0.0905,-7.457000000000002,0.026,81.971,0.449,Cluster 4
25,Love Yourself,Pop,0.8590000000000001,0.795,0.378,0.0,0.204,-9.979,0.316,100.227,0.5760000000000001,Cluster 2
26,All of Me,Pop,0.922,0.422,0.264,0.0,0.132,-7.064,0.0322,119.93,0.331,Cluster 1
27,Just The Way You Are,Pop,0.0151,0.637,0.843,0.0,0.0876,-5.4129999999999985,0.0432,109.012,0.434,Cluster 2
28,Dive,Pop,0.355,0.7609999999999999,0.386,0.0,0.0953,-6.158,0.0399,134.94299999999998,0.526,Cluster 1
29,"City Of Stars - From ""La La Land"" Soundtrack",Pop,0.906,0.474,0.121,1.16e-06,0.0885,-15.127,0.0384,97.219,0.424,Cluster 2
30,Take Me to Church,Pop,0.634,0.5660000000000001,0.664,0.0,0.116,-5.303,0.0464,128.945,0.4370000000000001,Cluster 1
31,What About Us,Pop,0.0254,0.386,0.594,3.03e-06,0.0873,-6.186,0.0565,113.843,0.187,Cluster 1
32,Naked,Pop,0.104,0.529,0.607,0.0,0.0631,-6.7810000000000015,0.0574,101.966,0.238,Cluster 2
33,The Scientist,Pop,0.727,0.56,0.442,1.7100000000000002e-05,0.11,-7.224,0.0243,146.44799999999995,0.212,Cluster 3
34,Heaven,Pop,0.863,0.544,0.379,0.0,0.083,-9.113,0.0412,199.756,0.322,Cluster 3
35,Lost Boy,Pop,0.965,0.71,0.0565,0.0,0.0889,-15.099,0.0534,123.994,0.348,Cluster 1
36,Pray,Pop,0.282,0.463,0.388,2.54e-06,0.0866,-9.367,0.0437,77.415,0.166,Cluster 4
37,We Don't Talk Anymore (feat. Selena Gomez),Pop,0.621,0.728,0.563,0.0,0.179,-8.052999999999999,0.134,100.017,0.35200000000000004,Cluster 2
38,If I Ain't Got You,Pop,0.603,0.609,0.445,6.77e-06,0.104,-9.129,0.106,118.393,0.166,Cluster 1
39,Say Something,Pop,0.857,0.407,0.147,2.89e-06,0.0913,-8.822000000000003,0.0355,141.284,0.0765,Cluster 1
40,When I Was Your Man,Pop,0.932,0.612,0.28,0.0,0.08800000000000001,-8.648,0.0434,72.795,0.387,Cluster 4
41,Let Her Go,Pop,0.95,0.445,0.407,0.0,0.227,-6.882999999999999,0.0349,131.47899999999998,0.231,Cluster 1
42,Too Much To Ask,Pop,0.371,0.443,0.55,0.0,0.125,-6.417000000000002,0.041,77.52,0.188,Cluster 4
43,Golden Slumbers,Pop,0.8859999999999999,0.494,0.119,0.0,0.106,-11.831,0.0271,81.805,0.264,Cluster 4
44,Good Old Days (feat. Kesha),Pop,0.446,0.7120000000000001,0.51,2.46e-05,0.112,-8.162,0.0633,122.964,0.268,Cluster 1
45,Let It Go,Pop,0.804,0.568,0.293,1.26e-05,0.107,-10.253,0.0313,147.175,0.247,Cluster 3
46,Beautiful Trauma,Pop,0.0868,0.412,0.619,2.55e-06,0.4,-6.39,0.0725,95.977,0.234,Cluster 2
47,The A Team,Pop,0.669,0.642,0.289,0.0,0.18,-9.918,0.0367,84.99600000000002,0.407,Cluster 4
48,A Thousand Years,Pop,0.309,0.421,0.407,0.000961,0.11,-7.445,0.0267,139.028,0.161,Cluster 1
49,Can I Be Him,Pop,0.308,0.696,0.5429999999999999,0.0,0.0939,-6.164,0.0489,107.969,0.479,Cluster 2
50,I Won't Give Up,Pop,0.6940000000000001,0.585,0.303,0.0,0.115,-10.058,0.0398,136.703,0.142,Cluster 1
51,Slow Hands,Pop,0.0133,0.726,0.429,0.0,0.0574,-6.622999999999998,0.0519,85.899,0.871,Cluster 4
52,Sign of the Times,Pop,0.0259,0.518,0.575,0.0,0.109,-4.6160000000000005,0.0302,120.019,0.209,Cluster 1
53,"Hey, Soul Sister",Pop,0.217,0.675,0.885,0.0,0.086,-4.432,0.0436,97.03,0.768,Cluster 2
54,Delicate,Pop,0.228,0.745,0.41,0.000383,0.0906,-10.212,0.0779,95.022,0.0596,Cluster 2
55,Water Under the Bridge,Pop,0.0189,0.596,0.838,1.5399999999999998e-05,0.108,-6.52,0.0704,94.982,0.472,Cluster 2
56,The Best You Had,Pop,0.358,0.595,0.608,0.0,0.0843,-5.303,0.0373,60.878,0.452,Cluster 4
57,How to Save a Life,Pop,0.269,0.64,0.743,0.0,0.101,-4.08,0.0379,122.035,0.361,Cluster 1
58,When We Were Young,Pop,0.348,0.381,0.594,0.0,0.0925,-5.97,0.0486,143.86,0.273,Cluster 3
59,Make You Feel My Love,Pop,0.91,0.325,0.18,0.000633,0.113,-10.647,0.0311,72.416,0.0997,Cluster 4
60,Marvin Gaye (feat. Meghan Trainor),Pop,0.417,0.795,0.616,0.0,0.349,-5.2810000000000015,0.06,110.015,0.815,Cluster 2
61,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Pop,0.246,0.255,0.652,0.0,0.119,-5.909,0.0614,189.633,0.281,Cluster 3
62,Malibu,Pop,0.0577,0.565,0.782,4.16e-05,0.0757,-6.4129999999999985,0.0506,140.004,0.4,Cluster 1
63,Just Give Me a Reason,Pop,0.34600000000000003,0.778,0.547,0.000302,0.132,-7.273,0.0489,95.002,0.441,Cluster 2
64,Counting Stars,Pop,0.0649,0.6629999999999999,0.7120000000000001,0.0,0.119,-4.945,0.0381,122.014,0.48,Cluster 1
65,Lego House,Pop,0.562,0.5920000000000001,0.637,0.0,0.13,-8.48,0.0992,159.701,0.565,Cluster 3
66,The Night We Met,Pop,0.97,0.5489999999999999,0.371,0.132,0.639,-9.56,0.0378,87.024,0.13,Cluster 4
67,Rise Up,Pop,0.805,0.398,0.316,0.0,0.295,-7.0310000000000015,0.0368,118.582,0.174,Cluster 1
68,One Call Away,Pop,0.403,0.667,0.613,0.0,0.115,-5.353,0.0344,91.024,0.47,Cluster 2
69,watch,Pop,0.302,0.447,0.602,0.00233,0.107,-8.996,0.219,165.041,0.35,Cluster 3
70,Send My Love (To Your New Lover),Pop,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023,0.562,Cluster 3
71,Wherever You Will Go,Pop,0.0367,0.5579999999999999,0.7190000000000001,0.0,0.115,-5.113,0.0267,112.027,0.371,Cluster 2
72,Home To Mama,Pop,0.95,0.688,0.29600000000000004,0.000166,0.115,-11.064,0.0872,89.09100000000002,0.478,Cluster 4
73,Shape of You,Pop,0.581,0.825,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,0.931,Cluster 2
74,Make It To Me,Pop,0.634,0.506,0.3720000000000001,1.65e-06,0.099,-8.491,0.0642,150.225,0.234,Cluster 3
75,The Reason,Pop,0.0129,0.472,0.6709999999999999,0.0,0.159,-4.649,0.029,82.95200000000001,0.0681,Cluster 4
76,Iris,Pop,0.00133,0.29100000000000004,0.79,5.61e-06,0.0811,-5.683,0.0363,155.667,0.513,Cluster 3
