,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
0,Dreaming Out Loud,OneRepublic,Pop,Apologize,0.348,0.591,208107,0.718,0.000118,8,0.107,-6.025,1,0.0368,117.995,4,0.46799999999999997,Brooding,1NrJYpdAi7uosDRPmSYrsG,Brooding,1.0,-2.0
1,Illuminate (Deluxe),Shawn Mendes,Pop,Mercy,0.133,0.568,208733,0.6859999999999999,0.0,11,0.11,-4.901,0,0.0903,148.29399999999998,4,0.4,Yearning,7evPpWWu01Klxi0KlPxR17,Yearning,0.0,-1.0
2,1950,King Princess,Pop,1950,0.648,0.6,225133,0.535,4.7e-06,4,0.162,-7.042999999999999,1,0.107,71.91199999999999,4,0.26899999999999996,Empowering,0CZ8lquoTX2Dkg7Ak2inwA,Empowering,0.0,1.0
3,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,Pop,Perfect Duet (Ed Sheeran & Beyoncé),0.779,0.5870000000000001,259550,0.299,0.0,8,0.12300000000000001,-7.365,1,0.0263,94.992,3,0.35600000000000004,Gritty,1bhUWB0zJMIKr9yVPrkEuI,Gritty,-1.0,-2.0
4,In The Lonely Hour,Sam Smith,Pop,Stay With Me,0.568,0.479,172724,0.419,0.000217,0,0.11,-6.517,1,0.0389,85.014,4,0.18600000000000003,Yearning,5Db9VIdDsN5yu3Eu7CT0i4,Yearning,0.0,-1.0
5,Nevermind,Dennis Lloyd,Pop,Nevermind,0.159,0.601,156600,0.688,1.29e-05,5,0.414,-8.374,0,0.20199999999999999,99.93299999999999,4,0.0793,Brooding,63SevszngYpZOwf63o61K4,Brooding,1.0,-2.0
6,Eyes Open,Snow Patrol,Pop,Chasing Cars,0.193,0.557,267933,0.609,7.69e-05,9,0.135,-4.463,1,0.0259,104.01,4,0.172,Empowering,11bD1JtSjlIgKgZG2134DZ,Empowering,0.0,1.0
7,21,Adele,Pop,Set Fire to the Rain,0.0038200000000000005,0.61,241693,0.6829999999999999,1.79e-06,2,0.125,-3.8789999999999996,0,0.0253,108.00299999999999,4,0.466,Yearning,3CKCZ9pfwAfoMZlMncA1Nc,Yearning,0.0,-1.0
8,x (Deluxe Edition),Ed Sheeran,Pop,Photograph,0.607,0.614,258987,0.379,0.00046399999999999995,4,0.0986,-10.48,1,0.0476,107.98899999999999,4,0.201,,1HNkqx9Ahdgi1Ixy2xkKkL,,,
9,Title (Deluxe),Meghan Trainor,Pop,Like I'm Gonna Lose You,0.4,0.63,225053,0.53,0.0,0,0.177,-7.2589999999999995,1,0.0434,108.038,3,0.41700000000000004,Sensual,2YlZnw2ikdb837oKMKjBkW,Sensual,0.0,0.0
10,Nothing to Regret,Robinson,Pop,Nothing to Regret,0.243,0.6970000000000001,208486,0.521,0.0,5,0.18899999999999997,-6.519,1,0.031,91.99799999999999,4,0.331,Brooding,3C2xQqHVkhA1Ht17SzPRke,Brooding,1.0,-2.0
11,Back from the Edge,James Arthur,Pop,Say You Won't Let Go,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059000000000000004,85.04299999999999,4,0.494,,5uCax9HTNlzGybIStD3vDh,,,
12,Know-It-All (Deluxe),Alessia Cara,Pop,Scars To Your Beautiful,0.0294,0.591,230227,0.741,0.0,0,0.11,-5.751,1,0.139,97.04799999999999,4,0.452,Urgent,0prNGof3XqfTvNDxHonvdK,Urgent,1.0,-1.0
13,In The Lonely Hour,Sam Smith,Pop,I'm Not The Only One,0.5539999999999999,0.45299999999999996,239317,0.496,2.65e-05,5,0.0772,-5.785,1,0.0453,80.994,4,0.501,Empowering,0fioLzGM8ngbD1w6fMmm45,Empowering,0.0,1.0
